SKU	price
SPMAKL8MUC	$3.29
NYJ3453A4C	$7.70
GF2GMYY2OJ	$1.05
T73W2528VQ	$1.35
X063UK10Y5	$4.42
KNLUO80OEW	$6.88
V3G9WI3MUP	$3.69
WO8A1ZN2TV	$3.26
50IFAGFNVX	$1.44
JSLSS922CF	$3.77
NOON4TZOUT	$3.20
TCMOJ9D4UC	$1.69
8YC4ENAIDI	$5.14
JPLP21T60V	$9.50
JGJYRO1NMG	$9.22
OJ1KR7LW0E	$2.01
1B666HS5IA	$4.77
0L8VEEYOZJ	$7.76
HAS8AP0QMM	$4.65
VQPFQDVIQ1	$2.51
PCDPAQMSFT	$0.48
JBECJ253N8	$8.27
S41GGOODQD	$6.89
7WKWDN5C1H	$8.08
DFKNLAVOPV	$7.99
XL3GEL335D	$6.81
YN81YUZ5VB	$6.98
U7KEG1LKLH	$6.15
F1MAUJNFWM	$9.26
UF2QXJQT14	$3.61
EK0BTQPN2A	$4.13
8EECJZ2FMB	$3.63
7PDT9YHFZ9	$8.74
G7Y2CZYVW0	$9.57
L27JQXN1N1	$5.89
D1UCGGEBJD	$6.93
KHIHF8DRN4	$6.23
NQEVSXQ5WG	$0.02
TGR2X6VH35	$9.50
5VL0Q3GHQC	$2.42
P164K2DDXE	$9.56
QFC2O6ID6B	$7.05
M74O1C02XC	$6.05
FF4JQA5ZQM	$7.33
P13HKSOD0B	$3.22
5W61G7FCLT	$6.96
817MWN591H	$5.72
RYJC1O6B51	$0.09
5VW66M6XGS	$3.74
8YNFLK6I6U	$2.23
0HKT393TFA	$1.22
V96402WZD2	$0.66
5BYGBB06QR	$0.06
K9KY2JQAS1	$0.54
1H484F8Y2I	$9.07
FJZ61NVZZJ	$7.60
FT7EG2O2FN	$3.67
89GMWOPLIS	$3.34
WLG5I8KQ1P	$7.71
3OBKV7MDBN	$6.25
46U754BLPD	$8.81
2MSKX2KU7Z	$7.69
V3LLJGBOPH	$1.77
275ZBJFIZM	$8.07
YY6HGHXR9W	$6.56
8819K1RZ5X	$3.07
7BQGXH5PJQ	$6.73
W354M4IIDD	$1.09
4ELM5QKP7C	$7.54
T35WIVOKGZ	$5.78
H0LRCQEP4N	$6.36
XUS8K583QM	$2.56
982DC3MYMV	$3.83
6BHF16C747	$0.47
NEBK3644TM	$8.15
LXUBGQHDE7	$5.66
XF26E6CZT2	$4.54
SLKKMQL8EK	$8.00
G5COZ3VN2U	$3.28
P7DEK16ECZ	$2.28
K8OMGFW2VY	$8.53
9MEAPHJZU4	$0.25
IAUIIDEQWK	$8.69
CUT3QCTTTH	$6.59
QKWRF35F0R	$8.96
357E4ZBB3C	$9.94
Z1MPRFBH8J	$4.05
8ND8SLZNAR	$7.11
088E0NO23C	$4.56
2F9AJND3FV	$2.45
ENCV6DVZW5	$5.85
ZDZBNFDL6Y	$3.04
3KIZZFKXCB	$9.93
0QKL0W50YY	$9.93
QNFDCTEBP8	$0.55
DKXZQE3K5T	$3.02
92HNWQK3GA	$6.46
QLYWVN730R	$6.94
F87PA8Q6JO	$6.65
OD2K619OLG	$8.66
RMT2ZLILS6	$9.61
5ZM8S6BHA0	$1.13
NQN97UJNCK	$5.90
CI3L379SUQ	$3.12
4HI28XTUXI	$0.62
J5Q3T5BBDM	$3.05
DSBPJSB7HG	$1.23
VO0NNSBOKF	$9.40
1KP03N77FE	$1.88
7NUP5UZHC7	$4.17
0QQY16O22A	$8.27
LAC7THYHB2	$8.85
AYM1CMLY4N	$7.47
1P5WERNSKF	$0.32
XJQI0AUZ56	$9.98
AB3LDM5WD7	$8.52
R5YNH0QO61	$4.43
I73JN73TWK	$0.64
84BOQS9PJ3	$5.78
NUPY2FBRAS	$5.54
JDIDUIH547	$9.87
U8D8VK5N93	$0.42
D4VBYQRNVT	$9.09
NZ8YF4FUI2	$9.41
EBAYH68CZX	$5.90
YSN2X2DG5U	$8.01
86PRNLDSO1	$9.27
VO7BPCV6N7	$6.98
BQ2NIKHYST	$5.93
ZRK18KC1DE	$0.57
VJ2WBH59LF	$1.38
VDB3G0A5VY	$3.35
KCN6Z107ON	$5.75
9KI2UV1UXQ	$6.55
KLTB217C6D	$7.26
PT6Z9WN8IP	$6.62
S8PWN790M6	$1.72
AU9IHJJEVM	$4.18
46CWL5FUDT	$3.18
C1DSYI91KF	$8.17
0ENVL5Q8VC	$9.74
Z5D9HLKHQT	$4.51
B790V9UR0N	$7.40
5XH4YE5TUO	$8.66
OVC2ZDHQ17	$7.80
M2YNKY85EL	$9.50
53T8EFIWO4	$3.37
45MTQ57JC4	$7.16
EYGGSL81SY	$5.93
661SDMN6HW	$4.14
E3DWVBSU1C	$9.22
OPMEJACA72	$8.10
W90XQVN5IK	$9.13
OZNQ50BBOR	$7.85
Y0V2UM8ND8	$3.63
U72R8ESYT5	$7.39
BG7HAN1M90	$3.98
9R7M5SY9KM	$2.53
QGCT24VKY6	$1.41
7E270CXLHE	$5.15
HA4L70EXXH	$9.78
UOBNF05AYU	$3.87
WWPY7HOEUK	$9.21
CGRYXHRDHQ	$7.16
NUF9264BNF	$0.84
VJIB6U78R4	$1.66
3W6T4AQ2HR	$1.12
8XVHRVDU0H	$5.50
0FOMMOV2QN	$9.21
QU3QPLNHDJ	$6.38
NT2A1X1Q2D	$8.57
N4M216RS5X	$0.93
BR9S84IF76	$0.59
AXQV665YLQ	$3.05
DKPFNAVT4B	$8.51
OD9NIQV5GV	$0.43
1GV9Z1YA7W	$2.36
S43RN620DY	$2.42
ETK26ZNGZP	$3.01
LEYHTPG329	$3.15
MFN0XVIRQ9	$3.58
NMF0RKAC8S	$5.86
LKQHL4HYGV	$3.54
7CSE549KUZ	$5.24
IUPQDC9PR5	$0.31
JHL97J4C5U	$3.94
I78ZZX0DH9	$8.44
G9NYKIMZ32	$5.81
XURP0RLYT4	$7.71
NXU9TEA04M	$5.94
A2YGMNRPYU	$0.39
RWU98ZNBH7	$6.04
G1YXQZ4OXI	$9.98
SYM04PY3EK	$4.34
Y2YWD1L9ZN	$4.75
D8MYPF7YX2	$4.29
IGI82UMQ4R	$3.02
C0D1J09H0V	$9.14
S42GEJRMXQ	$6.14
C3OCULQ600	$8.91
UHWD7UNN0G	$7.77
A21R6J6VOH	$7.99
PXWQSQ7J4N	$7.95
TV85O6DTJJ	$1.26
54OZVOLYBW	$6.68
I4BYQNKVHC	$5.07
81HXIG20M9	$8.55
55ZZZ2CEYN	$4.15
QBN728IGY9	$7.01
JGP7LW2Y7I	$7.84
Q5UD7S3KM3	$5.77
CC8MYSIIM0	$8.36
1UHBXZMODZ	$7.27
YK413I80YN	$2.11
L2M8UKFCPE	$5.81
9L4EVQTPWY	$3.01
2SHZEKWI0G	$8.49
WYJY8SNL10	$9.81
94ZQCKQ7LA	$8.52
80HRTDVPJJ	$3.85
JIQFLR2LX3	$8.25
GYNE3UOK37	$1.08
IJH2X4CP1M	$7.60
8PF5RLPFEH	$7.09
1UZ6DNK83S	$3.49
6D3CRYXFGR	$3.16
8UNKA6YW51	$4.98
D6KHGA9Q57	$2.58
RNHMIZM141	$2.45
50V8I8TP4C	$1.20
PIQFEBTO1A	$5.30
VSDOX7PB7G	$3.67
NCEXP6UWAH	$1.11
Y17HDYX32W	$2.69
BBRI5LXV4X	$1.62
XRPQ8CGVL3	$4.62
B7SFTVHVQX	$3.67
Z0EOQA9E9O	$4.44
RACRB8HECR	$7.02
2ZVAOC1C9B	$0.81
S54GZH776A	$3.53
BZU4B52RSL	$1.58
M0C8YC70S5	$8.03
910KPXMSE3	$1.06
TZXOUQJ4T6	$4.85
8JNBSU52AW	$1.04
M406MPP7MW	$3.29
GGWZ78OAOM	$7.87
N0YLM8C3OX	$1.27
G3YFSAI7CD	$1.89
KW57GJQKAF	$2.94
1EUZB0F6A6	$1.43
EWOGPCHHXO	$2.72
VBMZVWABG5	$5.17
0NWTT5VJAR	$9.86
NB14A4QLQL	$5.56
IWCX2FD3JT	$4.59
01J9HSUKLX	$2.36
TLO5TRURGG	$3.24
C89QNJX85N	$5.61
QMU9TSZ7RR	$9.14
MB4O6FU73F	$7.57
7I28HTKEJH	$6.39
M54BW7U5W7	$6.69
W0JYPAOX0S	$1.02
9IX2VQSMR0	$0.91
08Z7Z4FKAO	$1.60
VDIZY4PPDN	$7.13
AD7HGQG7WY	$9.24
MZ7W64HDWL	$8.48
AJV9VMY42W	$5.25
7LOM242EGN	$1.41
NMCBEUUA5Z	$7.30
8ZG7AMGQ0A	$7.20
XPND2VCHUV	$4.29
8F8HVT8XJE	$9.41
QQV82ILRW5	$5.42
KGMR7RQASF	$3.69
I3743QA0DL	$7.02
5BETS3H0ZB	$8.32
7I7E03YM47	$3.46
SO5AL9NJJN	$6.82
T57DALXVWY	$6.55
DXF6AP128E	$8.79
V881X5IRKG	$2.31
MMCPCJBQA8	$3.93
OIM7D1EJJA	$3.36
VY1Y7JWYE1	$8.61
R6G3R857H2	$4.51
33JPMMR2RM	$7.60
GNWT9KDBLV	$9.31
LKP413WNN4	$1.56
XX19NSXG1D	$8.40
5TIQ0PX1M0	$4.75
SVDU6Y1HHK	$0.66
7Y19JWW6KQ	$4.44
7VST3W0A9C	$9.07
3K56H0KTRZ	$6.30
QF19978U9C	$4.03
YB301V94CH	$4.64
K04HG2PMHC	$9.57
37NCMTJEQ8	$1.67
Y1C0WE6CQU	$6.01
8FG0IEJIV5	$3.98
PX083O7Z26	$0.35
52PXQIL9N1	$9.56
USWDZ7DQCN	$2.78
4YEWSKNB7S	$3.55
ZS7G8TGMVU	$3.25
6SL6RS5MII	$5.78
4AFC7NFH61	$5.39
T09ULW929P	$9.31
DXPJEGO8RW	$7.05
LEKDB6ZLOW	$2.27
PIZW9KXJ0J	$2.75
13AJMFAJQV	$5.68
MNWD1V8MNQ	$6.99
AL6E6EG7PK	$8.75
KPFDJ1FJZE	$1.88
YP6CD3B54N	$3.11
KVQ4R52329	$7.68
SI7PWVMD4I	$5.43
M2NVTNNA43	$7.44
6I51SX3QMO	$7.96
5J12N2CFFP	$7.62
WCTGJPPIKQ	$1.56
0IQMAGQT6B	$9.42
1PTWQDY84A	$7.98
RVLELSSK2Z	$8.29
1QQIL0D7S3	$7.56
SAJPFZ6GWZ	$9.78
QZLPPVV4DQ	$8.82
M4FDEX58H1	$2.57
YP3BCUQB72	$2.09
ZWS89X0XF3	$7.67
FCRDMWQ1UN	$0.66
VL0GVG4523	$3.43
S279MGEO7O	$9.41
21ZYVBMT1Q	$8.97
FF876IN2VS	$9.80
NGI6PA22AC	$6.96
N3MWCBA15R	$1.58
RPBJLJ7ARY	$5.89
DV84B37IY3	$0.09
OD41THNQ2M	$0.32
TQX89ZGHOB	$5.70
JWPSAGSSQV	$1.82
KWBRWGWUV4	$0.12
4U6GR4W3WQ	$8.04
XKYHD0IYZJ	$1.04
U6I57CCYA0	$5.59
SNRK5B4OE0	$6.16
K74A7F9QZU	$3.08
IT4E2H3FZJ	$1.11
3I2UZLIJV0	$3.97
7JVHB3RZG2	$9.36
YEP7C2ZD4C	$0.19
27W9N5EABZ	$3.16
M8S4MXIHAH	$4.40
Z9Q9PED20P	$9.56
UP7NIZNZ0D	$2.52
T42426J7NL	$7.54
WTTGMEPOI8	$1.58
7F0BHJYOXU	$1.53
HIWVBBAPF3	$4.42
X0JDQ5JCKL	$0.03
MVJCGWPV4L	$0.93
TBKHSOWZHF	$2.34
OD0QY2DIRI	$1.73
1J8L6JP9A8	$3.97
TE97Q3B6AW	$6.76
LX1FGFCJ7B	$8.06
25UMHZ0GZV	$9.99
MYIOTINXHE	$3.78
SEBCME1CDH	$2.48
0MM9P8B3NU	$7.04
67BN0WO0WL	$0.21
QWBHTXRR1V	$4.50
RQIK0ZXB95	$6.27
WAJGRI5AAK	$0.38
FXQPX6Z2GL	$4.15
HGX41N3IWC	$0.35
EX8F34G0NP	$1.46
X65O1YKI40	$0.93
XQDX5QW3B3	$2.88
BUI33TI0VE	$2.86
WAPFPIONG9	$2.84
KOK5R0NKWY	$3.85
BZ7SDKO0I4	$0.02
VGK86A6200	$4.32
H431TICYWR	$0.01
XXWF7H44CN	$8.69
8832VBBLB2	$5.50
5N6FD4CWL7	$0.08
C6QP99358E	$5.11
MFDF6HGQRE	$8.16
DU9P1IOSI1	$0.24
5K1XXZ7GC9	$1.63
CHFR6Z9PE7	$2.53
0X0K3X1KR5	$6.52
UNIU4ZELXH	$3.34
PZQSMMBG09	$4.84
9ZKM4GOGL2	$7.85
MF4L1Y4YJ2	$7.22
S7CFO2I86Y	$2.62
LQGM3ZUXZ1	$9.06
LYWQ94LQ9D	$2.17
OVTC4SLH1Z	$7.80
UUMXG2QVHE	$9.89
TMOBZZVA8L	$5.19
NCRRYI5VKC	$0.95
ZB9UQUORNY	$8.95
NOCWWR26GM	$5.58
31FS90ZAVB	$4.55
KO8CUU7ONL	$6.32
QB5Y6DNHEG	$4.81
O9C06ZXCMX	$1.37
CHW9IV9MQA	$2.50
IGWNQOYC7E	$6.14
YKI412FHEW	$8.09
NSS95WKFYT	$5.27
TPLGHDVKGZ	$0.32
T9SP4OI9TQ	$6.66
FX27N8QLF9	$8.50
B0EOHHPKOY	$7.79
L6XCGSYZO9	$3.36
A2F3FKL0VQ	$7.94
OS03RC0IT4	$1.07
FF7S77BEUT	$5.57
UN6I0AVS68	$7.09
2EIRZKAV55	$8.10
64LDXMM8X4	$8.24
9IP80ZHFJ6	$0.22
5IAZPXB9S7	$7.59
FXLKWJSEVE	$3.35
9JKEUEGZRQ	$1.91
DJL8HOVIM8	$1.41
IZMXUA85HU	$1.07
VK4YTSDCKP	$6.32
OK6YPTFPZN	$7.57
M826NM1NLR	$1.56
I5WNNZA87X	$5.57
BSQV9XB8MO	$8.30
1EFDACYCNA	$6.48
JA1T71Q6BM	$1.48
KKZVP5N40Y	$6.03
KXF9EY5SBT	$6.49
CV58NJFCYS	$9.10
R70HZCNJED	$7.05
ZN0OELRBDH	$3.83
4Q6F5LDM2J	$4.39
TNMM3SO7RK	$3.36
JFDC0HHU79	$9.27
BR90HO78NV	$9.01
XWP9L88VJ1	$8.29
QYLDLVQNPK	$8.13
GZLQR0M74I	$1.84
Q64JKHZ47H	$6.55
HJZXVUZAJO	$4.72
JK38TE3WZA	$3.40
WVCD141VTZ	$8.51
6R8QM6VS6L	$3.40
WD3JBIO0KW	$4.65
ORVCGKYNLK	$0.38
1CLHYET41B	$9.57
84DFBS8MHU	$2.88
XBHQIFGB7O	$4.35
VWGHB1KVFG	$4.88
R6QZMDHI75	$9.31
SBCGX26ZOU	$7.48
A81VHHRV3T	$8.93
Q78OWJPDFK	$5.69
XC1SX2HY7I	$5.70
402E4XU8E1	$4.14
K4F8RK604M	$0.83
0VQ1PAASJQ	$6.19
BDMH81BT5Y	$4.72
ZXOPB35EJA	$7.30
AE9NT51LMF	$8.32
WVWFKQF2EB	$5.65
TDKGB11DIE	$9.54
D4BTG2O0L5	$2.61
CM6SLPFFHH	$5.38
ZUUX47VEFC	$7.08
W6TP9N9BID	$8.05
OOVPSATW2Y	$4.07
64QIBDAG7W	$0.65
R43P6W7UY5	$2.88
1WP770C12L	$6.20
CPC8JLB0IE	$5.01
ABL3SL5JCU	$0.39
1MKZRFFB8B	$2.70
0LJLINSUYG	$3.75
VKU1ZUENF3	$2.51
O8KDMAGD9X	$0.58
TVEGGBIDOP	$3.11
I6GH0HURZR	$4.95
XWIW31QOYC	$3.03
JQSX8UJUH5	$5.74
TV5C3Q1J89	$0.64
OHL5W9INXW	$9.67
71R031IEX0	$7.94
C7ZY5QMIHY	$4.34
7ECIQG1J1J	$4.05
KANDV9UFCH	$4.69
NQS01C4CGA	$1.23
ISBRM7WRX4	$1.95
LYM80R58QT	$5.70
Y9XRGIIZ5Z	$5.33
790YTGD73N	$7.33
HBL1J9B6X5	$8.47
5R4PMY2KAE	$1.02
9RI8UZQ5R2	$7.10
0AWDJSY4ZN	$7.63
BWO4DCFD3Q	$5.93
0ICA7NXKG2	$1.86
JZDCLP94C1	$0.42
71S9834LV3	$9.87
JXZX96FK2I	$0.76
3X7M54ZGPD	$4.42
6NY7T7AUKK	$4.86
PVV5PSJA5E	$1.93
EJ61B3JBRO	$8.45
593UV2U5AS	$4.19
YMRQNDWEZL	$9.38
DP6925KGC5	$1.53
4YINRAHL07	$8.82
D3R20XKB55	$9.53
O380LR0YNP	$0.97
WFXKY3ETRZ	$4.86
2QU9H8JU5Y	$6.45
0QP1LPBOCE	$7.17
BN448Z7YMV	$1.32
WKE775ZK41	$1.20
QITA34U7FO	$5.40
KYE04KVYAH	$9.82
YIB0C07SXD	$5.62
RZ4UBPJKAB	$7.16
B2L835E010	$6.72
KB4DQ8Q8HR	$6.34
BF65GOTGMR	$0.66
FGN69RPN41	$9.84
Y9WCAI67WS	$5.93
VH2ZHHNC55	$1.66
4N1HHS6M5R	$7.43
4JKKY1273Q	$9.78
L1QPQKXFIC	$5.35
OMAZWNPD3T	$2.06
KQYXCDRXCT	$8.12
4XPSJJJQ6G	$7.72
6W3CYX3A5V	$7.82
FV9DL533AG	$6.89
U4C8KK6NIX	$9.04
R7J7CFX7ZL	$8.22
B1LCYUGPSV	$8.56
L9YXDEHWBD	$8.87
PDGNHJVPHX	$0.88
XZDZOPFMUA	$5.17
6OSUZVDN9L	$7.62
MHJHJHAJ5E	$8.52
5M8BR9L69S	$2.62
29UWTZVQ7G	$0.29
BRFAMO2O4H	$3.10
XZGK4P2V11	$5.63
M78IELLT7I	$0.98
04U84KP7TO	$6.35
6VWNBUONFR	$3.83
DJESMOBKAE	$2.61
BY0ELZGDLD	$0.42
PCPR0K2XHB	$1.40
IO8BPAAFKJ	$7.81
QO2JY7U5TY	$1.03
DB7F3CUL59	$3.19
P0K72EJ2BZ	$4.53
W8MKXWZP2J	$2.83
SDAXP8MRVT	$8.99
P7FJ9OTI9M	$6.70
XNETVU9TGF	$8.63
HYN0WR55CU	$8.57
8HSWAB1SQT	$8.22
B061WM3LPS	$1.20
PJHT7KA4BI	$9.26
YHCP0FV92E	$7.48
J7V1XEZ07W	$9.63
N4YBCICVUM	$2.45
NFIP0O23OG	$1.80
ZIJ3XPFEQ2	$3.47
P4WBCSJLI8	$9.74
9ST0GIGWHJ	$6.98
SGB5174V62	$2.27
31GQYCMGNO	$2.78
I4J075L9WL	$6.57
2DPRJYVYG6	$1.64
U7EB57S8CW	$4.15
6WBF63VWOR	$5.77
HKQSLCAOCL	$5.57
GTVCD53N8F	$3.64
5VU087JB4H	$9.86
N37NMG6C1O	$7.73
VI6AIVM5X7	$6.69
487EOSI24A	$9.00
EOAULSSHPH	$5.55
7JG7HU1QF8	$1.44
M9HREE9BV3	$0.42
6R29YT4X8L	$4.27
93SNBVNSN4	$0.50
8J3ZJPQM9W	$2.93
OQBHTGX3MH	$2.98
0O3R9BPC0C	$2.12
7PG0YI46Q6	$1.34
5BLBSHD0T0	$4.43
P2NW16UDYG	$0.11
A5D3N71POB	$2.12
IA8WFVJYR6	$7.53
N43T27WTZD	$8.34
6I1T4Z8DIE	$3.19
ATMLVK2VDX	$4.04
EKK68O3WSD	$0.43
873JGN96IR	$2.01
BXGEPEXFXZ	$1.87
1CGR2QMPXB	$8.17
RIF5YOJQTO	$3.15
7MQFHPQO4Y	$9.25
ZB7M1U47K8	$8.25
4G0JQ0A49P	$9.31
5YKABW8HST	$9.38
VD791PKKBX	$9.71
Z3BSKSZUMO	$5.44
MU2NAGP57O	$1.13
YDGMBCTW80	$0.15
52SRVNXY5Y	$4.54
7P5T7PTWUB	$6.03
751VOLFEFC	$7.77
FI171YBGMC	$7.93
XQHHU8JR0O	$7.31
4XNO0VKWZA	$2.12
R7Z4R2I7J4	$8.89
XUT7GTH0OT	$0.48
AO0C03L0YA	$4.44
JL0K2171P9	$2.90
HELZF6FPMM	$9.08
7NOBMQZRVY	$2.81
96J78P8X8U	$5.06
5R31EF80OE	$7.22
TXXIQ0YM5K	$4.37
JLD4M5O6MN	$2.00
SY40ILGZ0T	$8.99
6ZGQ0Z4L1C	$2.31
J3MD0Y8UDH	$9.41
M575QZB60K	$2.88
WHBSLJ8LBW	$2.60
Y4IUEOUOLH	$1.21
JMG9ODNDN7	$2.73
OV7C3QC3I8	$1.90
7RWKEPP15D	$3.58
OE3ZBLB6MT	$9.94
2GC3I4X806	$2.47
NETJD6CT6D	$1.23
6BOD9A9O72	$3.42
IBVWWRTPLW	$0.26
XCTHMXXRE1	$1.18
EC13O334K7	$2.60
PF6JHYB8X8	$7.55
KEJBS7JSX6	$6.10
HAUYPSJR7I	$9.96
C9C6G7C466	$5.12
R0HG3G59AQ	$2.64
5ASTLIMLT8	$7.52
KXXNHSN51M	$5.67
X8V0FF61TP	$6.87
M0R2HUVPMX	$8.79
571E5MHSAP	$6.35
DP80SJXL8O	$1.08
G27B6OU1OK	$5.84
9BBT62S1HF	$8.64
ZHQ093HHVG	$6.94
M0D87D8IP9	$0.00
39T2YHK6GN	$6.09
KE6NOPBXP7	$4.69
T734HLZPU4	$1.37
YP94FCEEUO	$5.88
V9LB4E8ZYO	$8.00
I4XDYZREV1	$6.48
095QQL35NS	$8.99
HCFWR7Y9B6	$7.70
XUCZO1E813	$9.08
OPM7XT29WA	$8.16
CGAGNTDAVR	$6.64
XPAVTVZC87	$4.46
DMZPZ5VGBF	$2.12
Y36NXXZEGP	$1.33
0JAFF3QSG9	$9.27
ZJCNE0919L	$0.58
A5C3WC0NM5	$3.99
TIVJ4MUYBQ	$6.80
4N2EO23MI2	$5.17
YBEMVNWSYR	$5.18
2X6BLNHH56	$3.84
UMY9BLFLEW	$0.34
KX8CTK37DI	$1.04
68CCVFC1DJ	$1.73
WPAZB6TX5Q	$2.85
LWN2GOARCW	$8.65
F19T5JDF33	$5.12
0LFGIEPZ66	$8.36
VMNDO6CSFN	$0.09
VDXDIMIXT2	$2.14
R0DHVWPCE3	$7.45
BC7660JT7I	$2.39
7DDN01CSLF	$6.49
4MXKTZ0KOQ	$6.99
QNTGAS974G	$2.79
NVHHLHGN90	$9.44
FTACTTYXNC	$4.05
RE85IV3WEI	$1.17
6OZ8WQK86M	$7.59
J1RWSBLQ8R	$2.10
UUIOM4YBIS	$6.20
SJBSJ5STSB	$6.79
9NC85FN1JS	$4.76
B43WFGKIX4	$5.88
UK5TJ43O82	$5.14
FPMRSG02LO	$9.74
LS3KISL5Z0	$1.02
V04TRLVXBB	$8.86
RAMN0BABDP	$2.79
AWJODHNXGM	$4.49
N9QWUSRI5M	$0.06
XK0PW5D465	$5.21
XR5YUT8UXN	$3.59
FU0GOPCCCG	$5.92
FTZK1P7BBU	$0.22
MSNWQ1KUNT	$4.30
6V8QB2AB85	$8.71
DIANVLX1C1	$5.74
4YJ1TW6RMU	$8.60
5IHUVOCIFE	$7.53
EV8BJD81X3	$8.23
42YU6DYRP0	$4.85
S1JJNM4V98	$6.38
Q1FPAJKXQX	$8.29
0SWTUYL2G1	$7.59
S8NPDYXSWW	$8.48
18R98SUIHX	$8.06
OVL4JNF9EU	$2.62
H2A87OK1O2	$3.59
GK9I1D54QT	$6.42
NMAJG1L318	$4.59
5WXOU2SFGQ	$7.88
2MB5ZV85C1	$4.26
JYDFTYRGYL	$9.47
VY78VD36P1	$3.37
4J8UBH9GZ8	$0.07
UVFXKNEUUK	$6.37
U61WH3MXHT	$2.20
X1RFU5PY1M	$6.84
X4YJ21F3W9	$5.60
TH4XKK25IJ	$6.78
W41A5P4TJ6	$4.43
Q01YE445FD	$6.91
5Z4KRLGTP2	$0.37
3BGKL7O0NE	$4.49
XM1DMP9YJC	$6.09
N6UUJ4WSSG	$4.57
BF2UHS7QB7	$8.17
OD862Z48CL	$0.48
